function	id_vd								
Device 									
Input data	vdsbegin=0	vdsend=0.8	t_step=0.01						
vds	Id(vg=0)	Id(vg=0.1)	Id(vg=0.2)	Id(vg=0.3)	Id(vg=0.4)	Id(vg=0.5)	Id(vg=0.6)	Id(vg=0.7)	Id(vg=0.8)
0	0	0	0	0	0	0	0	0	0
0.01	3.16E-12	1.37E-10	5.85E-09	1.58E-07	6.94E-07	1.17E-06	1.50E-06	1.71E-06	1.86E-06
0.02	5.33E-12	2.31E-10	9.89E-09	2.79E-07	1.33E-06	2.30E-06	2.96E-06	3.40E-06	3.71E-06
0.03	6.81E-12	2.95E-10	1.27E-08	3.71E-07	1.91E-06	3.38E-06	4.39E-06	5.07E-06	5.53E-06
0.04	7.82E-12	3.39E-10	1.45E-08	4.38E-07	2.42E-06	4.40E-06	5.78E-06	6.69E-06	7.32E-06
0.05	8.53E-12	3.70E-10	1.58E-08	4.86E-07	2.87E-06	5.37E-06	7.11E-06	8.28E-06	9.08E-06
0.06	9.04E-12	3.92E-10	1.68E-08	5.22E-07	3.26E-06	6.27E-06	8.40E-06	9.83E-06	1.08E-05
0.07	9.44E-12	4.09E-10	1.75E-08	5.49E-07	3.59E-06	7.11E-06	9.63E-06	1.13E-05	1.25E-05
0.08	9.75E-12	4.22E-10	1.81E-08	5.69E-07	3.87E-06	7.88E-06	1.08E-05	1.28E-05	1.41E-05
0.09	1.00E-11	4.32E-10	1.85E-08	5.85E-07	4.10E-06	8.59E-06	1.19E-05	1.42E-05	1.57E-05
0.1	1.02E-11	4.41E-10	1.89E-08	5.98E-07	4.29E-06	9.23E-06	1.30E-05	1.55E-05	1.73E-05
0.11	1.04E-11	4.49E-10	1.92E-08	6.09E-07	4.45E-06	9.81E-06	1.39E-05	1.68E-05	1.88E-05
0.12	1.06E-11	4.56E-10	1.95E-08	6.18E-07	4.58E-06	1.03E-05	1.49E-05	1.80E-05	2.02E-05
0.13	1.07E-11	4.62E-10	1.97E-08	6.26E-07	4.69E-06	1.08E-05	1.57E-05	1.92E-05	2.16E-05
0.14	1.09E-11	4.68E-10	1.99E-08	6.34E-07	4.78E-06	1.12E-05	1.65E-05	2.03E-05	2.29E-05
0.15	1.10E-11	4.73E-10	2.02E-08	6.40E-07	4.86E-06	1.16E-05	1.73E-05	2.13E-05	2.42E-05
0.16	1.11E-11	4.78E-10	2.04E-08	6.46E-07	4.93E-06	1.19E-05	1.80E-05	2.23E-05	2.54E-05
0.17	1.13E-11	4.84E-10	2.06E-08	6.52E-07	4.99E-06	1.22E-05	1.86E-05	2.33E-05	2.65E-05
0.18	1.14E-11	4.89E-10	2.07E-08	0.000000657	5.04E-06	1.24E-05	1.92E-05	2.42E-05	2.76E-05
0.19	1.15E-11	4.93E-10	2.09E-08	6.62E-07	5.09E-06	1.27E-05	1.97E-05	2.50E-05	2.87E-05
0.2	1.16E-11	4.98E-10	2.11E-08	6.67E-07	5.13E-06	1.29E-05	2.02E-05	2.58E-05	2.97E-05
0.21	1.18E-11	5.03E-10	2.13E-08	6.72E-07	5.17E-06	1.30E-05	2.07E-05	2.65E-05	3.06E-05
0.22	1.19E-11	5.08E-10	2.15E-08	6.76E-07	5.20E-06	1.32E-05	2.11E-05	2.72E-05	3.15E-05
0.23	1.20E-11	5.12E-10	2.16E-08	6.81E-07	5.24E-06	1.33E-05	2.14E-05	2.78E-05	3.24E-05
0.24	1.21E-11	5.17E-10	2.18E-08	0.000000685	5.27E-06	1.35E-05	2.18E-05	2.84E-05	3.32E-05
0.25	1.23E-11	5.22E-10	2.20E-08	6.89E-07	5.30E-06	1.36E-05	2.21E-05	2.90E-05	3.40E-05
0.26	1.24E-11	5.26E-10	2.22E-08	6.94E-07	5.33E-06	1.37E-05	2.24E-05	2.95E-05	3.47E-05
0.27	1.25E-11	5.31E-10	2.23E-08	6.98E-07	5.35E-06	1.38E-05	2.27E-05	3.00E-05	3.54E-05
0.28	1.26E-11	5.35E-10	2.25E-08	7.02E-07	5.38E-06	1.39E-05	2.29E-05	3.05E-05	3.60E-05
0.29	1.28E-11	5.40E-10	2.27E-08	7.06E-07	5.40E-06	1.40E-05	2.31E-05	3.09E-05	3.66E-05
0.3	1.29E-11	5.44E-10	2.28E-08	7.10E-07	5.43E-06	1.40E-05	2.33E-05	3.13E-05	3.72E-05
0.31	1.30E-11	5.49E-10	2.30E-08	7.14E-07	5.45E-06	1.41E-05	2.35E-05	3.17E-05	3.78E-05
0.32	1.31E-11	5.54E-10	2.32E-08	7.18E-07	5.47E-06	1.42E-05	2.37E-05	3.20E-05	3.83E-05
0.33	1.33E-11	5.58E-10	2.33E-08	7.22E-07	5.49E-06	1.43E-05	2.39E-05	3.23E-05	3.88E-05
0.34	1.34E-11	5.63E-10	2.35E-08	7.26E-07	5.52E-06	1.43E-05	2.40E-05	3.26E-05	3.92E-05
0.35	1.35E-11	5.67E-10	2.37E-08	7.29E-07	5.54E-06	1.44E-05	2.42E-05	3.29E-05	3.97E-05
0.36	1.37E-11	5.72E-10	2.38E-08	7.33E-07	5.56E-06	1.44E-05	2.43E-05	3.32E-05	4.01E-05
0.37	1.38E-11	5.77E-10	2.40E-08	0.000000737	5.58E-06	1.45E-05	2.44E-05	3.34E-05	4.05E-05
0.38	1.39E-11	5.81E-10	2.42E-08	7.41E-07	5.60E-06	1.45E-05	2.45E-05	3.36E-05	4.08E-05
